Inputs,,,,Outputs,,,,
Date,G,v,Ta,P_PV-TE,N_PV-TE,,,
dd/mm/yy,W/m2,m/s,K,W,%,,,
1/1/2019,1407.2023,6.02,250.2,35.62572081,13.45511347,,,
1/2/2019,1387.6336,4.04,251.77,36.03172521,13.42749368,,,
1/3/2019,1396.4022,5.43,250.19,35.64499112,13.45050087,,,
1/4/2019,1371.889,3.97,251.94,35.7491216,13.43655035,,,
1/5/2019,1376.3911,3.39,250.09,36.06729934,13.42117344,,,
1/6/2019,1372.7954,3.81,248.79,35.82202543,13.43308086,,,
1/7/2019,1357.9578,3.67,249.78,35.58617064,13.43981198,,,
1/8/2019,1322.0389,2.18,250.53,35.48099853,13.43205705,,,
1/9/2019,1340.642,4.76,248.92,34.78568622,13.47099233,,,
1/10/2019,1342.0398,6.62,249.68,34.06220106,13.49830762,,,
1/11/2019,1326.882,6.26,249.91,33.8925916,13.50016002,,,
1/12/2019,1310.8562,7.67,250.99,33.00016448,13.52225625,,,
1/13/2019,1294.9712,5.46,253.2,33.56091161,13.50311399,,,
1/14/2019,1288.3882,5.57,251.66,33.36963013,13.50746374,,,
1/15/2019,1258.5709,6.6,251.63,32.31149941,13.52876971,,,
1/16/2019,1249.1916,4.38,249.84,33.01458022,13.5091832,,,
1/17/2019,1245.3842,4.57,248.34,32.84650253,13.5131462,,,
1/18/2019,1248.1394,6.35,247.84,32.16755941,13.53007484,,,
1/19/2019,1210.3834,8.1,252.83,30.64959309,13.54144539,,,
1/20/2019,1158.5348,7.6,258.88,29.70128117,13.54372831,,,
1/21/2019,1176.3347,9.52,254.27,29.31663826,13.54350734,,,
1/22/2019,1197.2156,8.65,249.59,30.10811262,13.54386302,,,
1/23/2019,1157.0798,5.19,248.5,30.61473974,13.54312371,,,
1/24/2019,1146.7708,4.55,248.36,30.64950478,13.54177679,,,
1/25/2019,1149.281,2.33,249.18,31.67587728,13.52402847,,,
1/26/2019,1119.625,5.18,247.53,29.75225936,13.54149438,,,
1/27/2019,1106.6694,5.33,249.72,29.38638938,13.54266332,,,
1/28/2019,1082.067,5.15,248.87,28.86728639,13.54299048,,,
1/29/2019,1048.3589,5.99,248.51,27.67388429,13.53815305,,,
1/30/2019,1042.7795,6.51,249.08,27.31778376,13.53444906,,,
1/31/2019,1016.4133,4.85,250.18,27.3797855,13.53753401,,,
2/1/2019,1023.5118,6.48,246.68,26.83664186,13.52938528,,,
2/2/2019,1004.0534,3.06,246.48,27.86257607,13.5412841,,,
2/3/2019,988.8802,5.51,244.8,26.36534589,13.52591367,,,
2/4/2019,962.1057,2.67,245.23,26.95790919,13.53713314,,,
2/5/2019,945.5246,3.39,241.58,26.17381306,13.52862486,,,
2/6/2019,939.9987,4.35,240.92,25.58926592,13.51809123,,,
2/7/2019,920.8398,6.45,240.86,24.15500755,13.47824096,,,
2/8/2019,898.2503,6.74,240.71,23.42277591,13.45554198,,,
2/9/2019,873.4121,8.49,239.86,22.03341141,13.39380178,,,
2/10/2019,833.2288,10.5,246.6,20.28876925,13.30118417,,,
2/11/2019,815.3808,8.44,250.47,20.57218112,13.33485187,,,
2/12/2019,806.918,8.35,241.59,20.31056404,13.32199933,,,
2/13/2019,784.3246,7.11,239.28,20.14190107,13.32555777,,,
2/14/2019,762.1678,8.72,240.73,18.95124126,13.24880643,,,
2/15/2019,742.2028,7.92,241.77,18.69282355,13.24359529,,,
2/16/2019,719.4653,8.07,241.6,18.00566446,13.20188035,,,
2/17/2019,691.6817,8.11,239.86,17.20141974,13.15019466,,,
2/18/2019,680.0823,6.7,240.72,17.37141453,13.17917787,,,
2/19/2019,660.739,7.24,241.03,16.63095346,13.12352068,,,
2/20/2019,635.1552,6.71,243.45,16.09310599,13.0935107,,,
2/21/2019,614.9803,6.42,242,15.59761682,13.0608956,,,
2/22/2019,598.6841,5.28,239.61,15.49601308,13.06882541,,,
2/23/2019,570.4927,9.26,245.53,13.51157613,12.84559245,,,
2/24/2019,551.9759,7.59,241.37,13.42501024,12.86337021,,,
2/25/2019,537.5956,6.17,239.15,13.4162755,12.88533952,,,
2/26/2019,516.2186,5.39,238.72,13.02098595,12.86135482,,,
2/27/2019,497.0715,4.68,238.55,12.66530005,12.83924206,,,
2/28/2019,480.1692,5.71,236.21,11.83669859,12.73541721,,,
3/1/2019,467.2026,6,235.37,11.37262188,12.67989233,,,
3/2/2019,442.0868,4.72,239.49,11.00305225,12.6644663,,,
3/3/2019,427.3228,6,236.93,10.22503406,12.54779187,,,
3/4/2019,414.8052,6.72,234.5,9.663334006,12.45635638,,,
3/5/2019,398.0689,5.86,233.91,9.378323194,12.43646241,,,
3/6/2019,380.8633,6.73,232.36,8.693375875,12.32324399,,,
3/7/2019,353.5974,6.49,242.02,8.026952974,12.234824,,,
3/8/2019,337.335,9.64,240.58,7.04845702,12.0009491,,,
3/9/2019,330.9894,11.15,235.26,6.642424171,11.88541299,,,
3/10/2019,323.9976,10.53,228.63,6.502466659,11.86566653,,,
3/11/2019,307.6206,10.31,227.62,6.110424751,11.79296295,,,
3/12/2019,293.9909,8.92,227.98,5.944421352,11.79536113,,,
3/13/2019,279.2687,7.28,228.15,5.783162221,11.80501556,,,
3/14/2019,262.7388,5.27,230.66,5.640737583,11.83038325,,,
3/15/2019,246.5422,5.09,231.62,5.227597383,11.74832156,,,
3/16/2019,235.7135,3.32,231.67,5.187428347,11.78691344,,,
3/17/2019,222.692,5.22,227.27,4.55215642,11.5861012,,,
3/18/2019,210.7017,6.54,227.83,4.10038635,11.43655744,,,
3/19/2019,197.7648,5.91,228.45,3.84188437,11.38707269,,,
3/20/2019,185.4651,6.06,229.63,3.530895164,11.29908178,,,
3/21/2019,173.6679,7.76,226.24,3.11812733,11.1266442,,,
3/22/2019,162.4143,7.17,228.24,2.909706673,11.08293859,,,
3/23/2019,150.4717,6.48,231.69,2.694797775,11.0398521,,,
3/24/2019,139.9622,7.17,232.37,2.432303693,10.93578438,,,
3/25/2019,129.0488,7.91,229.27,2.165809379,10.81798513,,,
3/26/2019,121.0151,6.34,229.58,2.062433842,10.82515045,,,
3/27/2019,108.3556,6.51,236.18,1.813354904,10.73963567,,,
3/28/2019,98.9529,8.02,239.1,1.596113303,10.62284511,,,
3/29/2019,91.7646,4.38,234.1,1.543098021,10.68774394,,,
3/30/2019,83.996,7.51,229.95,1.313868607,10.49845966,,,
3/31/2019,74.684,7.34,228.52,1.149317304,10.42692251,,,
4/1/2019,67.3481,6.61,231.44,1.034939891,10.40042042,,,
4/2/2019,59.9861,7.16,233.38,0.905378209,10.32948114,,,
4/3/2019,52.8176,6.72,229.25,0.787124019,10.27133999,,,
4/4/2019,45.4797,7.16,226.34,0.665833449,10.18895382,,,
4/5/2019,40.491,5.31,221.82,0.594412554,10.18832808,,,
4/6/2019,34.9698,9.41,221.17,0.505006607,10.02829817,,,
4/7/2019,29.7966,9.3,223.37,0.431670303,9.997885113,,,
4/8/2019,24.9478,9.15,222.89,0.36452089,9.960824899,,,
4/9/2019,20.4981,8.08,219.58,0.302716623,9.936831232,,,
4/10/2019,16.3044,8.55,219.14,0.248821901,9.890521642,,,
4/11/2019,12.4837,8.73,222.33,0.197661024,9.866833233,,,
4/12/2019,8.9731,9.28,229.33,0.149175959,9.853758523,,,
4/13/2019,6.3626,9.05,230.51,0.113945252,9.840744615,,,
4/14/2019,3.9855,3.84,224.71,0.067526164,9.902267805,,,
4/15/2019,2.1799,8.5,225.16,0.06394879,9.796427893,,,
4/16/2019,0.8116,10.87,224.12,0.059751433,9.744515893,,,
4/17/2019,0.0759,8.82,230.86,0.033703162,9.794356903,,,
4/18/2019,0,7.04,231.83,0,0,,,
4/19/2019,0,9.23,225.5,0,0,,,
4/20/2019,0,10.96,225.41,0,0,,,
4/21/2019,0,10.69,226.51,0,0,,,
4/22/2019,0,7.55,231.76,0,0,,,
4/23/2019,0,6.27,227.98,0,0,,,
4/24/2019,0,3.47,231.31,0,0,,,
4/25/2019,0,4.01,226.97,0,0,,,
4/26/2019,0,3.51,223.56,0,0,,,
4/27/2019,0,2.56,219.55,0,0,,,
4/28/2019,0,6.33,217.47,0,0,,,
4/29/2019,0,5.76,223.98,0,0,,,
4/30/2019,0,4.93,228.71,0,0,,,
5/1/2019,0,6.01,231.34,0,0,,,
5/2/2019,0,9.42,239.48,0,0,,,
5/3/2019,0,5.68,241.79,0,0,,,
5/4/2019,0,4.78,230.72,0,0,,,
5/5/2019,0,8.9,227.19,0,0,,,
5/6/2019,0,8.6,227.58,0,0,,,
5/7/2019,0,4.39,228.18,0,0,,,
5/8/2019,0,6.24,223.52,0,0,,,
5/9/2019,0,5.74,221.14,0,0,,,
5/10/2019,0,5.42,220.15,0,0,,,
5/11/2019,0,4.92,221.39,0,0,,,
5/12/2019,0,5.33,226.12,0,0,,,
5/13/2019,0,4.54,223.64,0,0,,,
5/14/2019,0,1.8,222.43,0,0,,,
5/15/2019,0,5.3,215.56,0,0,,,
5/16/2019,0,9.29,216.35,0,0,,,
5/17/2019,0,10.14,219.59,0,0,,,
5/18/2019,0,6.56,224.3,0,0,,,
5/19/2019,0,7.22,228.47,0,0,,,
5/20/2019,0,5.8,226.66,0,0,,,
5/21/2019,0,5.45,227.58,0,0,,,
5/22/2019,0,6.94,230.11,0,0,,,
5/23/2019,0,9.58,224.19,0,0,,,
5/24/2019,0,6.79,223.68,0,0,,,
5/25/2019,0,7.53,224.3,0,0,,,
5/26/2019,0,9.24,226.21,0,0,,,
5/27/2019,0,12.4,235.79,0,0,,,
5/28/2019,0,10.81,237.32,0,0,,,
