Inputs,,,,Outputs,,,,
Date,G,T_a_rad,v,P_PV_TE,N_PV_TE,,,
dd/mm/yy,W/m2,K,m/s,W,%,,,
1/1/2019,1156.7611,306.66,3.58,31.50950389,13.52896103,,,
1/2/2019,1160.6566,307.23,1.85,31.5395261,13.52896103,,,
1/3/2019,1174.3505,309.54,1.72,32.66557756,13.50269422,,,
1/4/2019,1146.503,308.67,3.86,31.17296525,13.53389406,,,
1/5/2019,1111.1431,307.73,2.58,30.86848304,13.53431825,,,
1/6/2019,1149.6089,307.96,3.46,31.39981482,13.53004993,,,
1/7/2019,1185.5277,308.53,3.26,32.28982439,13.51584891,,,
1/8/2019,1190.5421,309.83,0.63,33.47814693,13.47921649,,,
1/9/2019,1182.6757,309.37,0.86,33.20732468,13.48699389,,,
1/10/2019,1173.2205,310.21,2.01,32.52357839,13.50669112,,,
1/11/2019,1142.6974,308.36,3.83,31.09664788,13.53471177,,,
1/12/2019,1139.3555,302.67,3.44,31.15368896,13.53321418,,,
1/13/2019,1145.1685,304.91,3.05,31.45192629,13.52826628,,,
1/14/2019,1145.6019,305.68,3.22,31.39611694,13.52948757,,,
1/15/2019,1146.634,304.78,3.44,31.32802025,13.53100438,,,
1/16/2019,1140.5164,303.68,2.6,31.52405786,13.52593395,,,
1/17/2019,1131.4457,305.67,4.09,30.72382141,13.53920421,,,
1/18/2019,1127.7195,306.9,4.28,30.56753834,13.54091878,,,
1/19/2019,1120.5825,307.17,3.71,30.62998733,13.53930295,,,
1/20/2019,1130.472,304.99,3.99,30.73830126,13.53888334,,,
1/21/2019,1130.8826,305.46,3.38,30.99372067,13.53486966,,,
1/22/2019,1117.3357,306.34,2.86,30.89378903,13.53473601,,,
1/23/2019,1116.2158,306.92,3.33,30.68000536,13.53806001,,,
1/24/2019,1121.2633,306.47,5.09,30.09622937,13.5453154,,,
1/25/2019,1108.7612,305.38,4.04,30.21474417,13.54325819,,,
1/26/2019,1097.2467,305.09,3.47,30.1722187,13.54270897,,,
1/27/2019,1067.2576,307.13,2.75,29.75989893,13.54441415,,,
1/28/2019,1059.3036,306.87,2.73,29.57569072,13.54542721,,,
1/29/2019,1083.4274,306.11,3.19,29.9625748,13.54373682,,,
1/30/2019,1098.6022,303.72,3.74,30.08950734,13.54369997,,,
1/31/2019,1086.5394,303.11,1.71,30.63666911,13.53492901,,,
2/1/2019,1068.2398,301.4,5.73,28.55616826,13.54286586,,,
2/2/2019,1072.7899,300.51,8.66,27.53304714,13.53436197,,,
2/3/2019,1089.1279,300.03,9.52,27.60611858,13.53352527,,,
2/4/2019,1088.3319,300.51,9.05,27.76236783,13.53584268,,,
2/5/2019,1093.7752,300.37,8.71,28.01683656,13.53840285,,,
2/6/2019,1093.1534,300.56,8.18,28.20121326,13.54023656,,,
2/7/2019,1089.1796,301.3,6.75,28.65829089,13.54297996,,,
2/8/2019,1073.4166,302.08,3.74,29.4833696,13.54683439,,,
2/9/2019,1114.0863,303.42,4.21,30.2630102,13.54320208,,,
2/10/2019,1113.5643,303.11,2.65,30.8807422,13.53443798,,,
2/11/2019,1109.7246,304.32,0.3,31.77600893,13.51395689,,,
2/12/2019,1078.9948,306.24,3.14,29.87787411,13.54420892,,,
2/13/2019,1084.3209,306.94,1.03,30.8792557,13.53013912,,,
2/14/2019,1111.7964,304.63,3.5,30.49970397,13.54012734,,,
2/15/2019,1119.5734,304.4,2.42,31.11847344,13.53092603,,,
2/16/2019,1106.4084,304.97,1.01,31.39987358,13.52269556,,,
2/17/2019,1097.9642,306.22,2.81,30.46152091,13.53911663,,,
2/18/2019,1086.5566,307.12,2.86,30.1751283,13.54167307,,,
2/19/2019,1059.873,307.9,1.97,29.90732399,13.54227061,,,
2/20/2019,1054.1909,308.1,0.83,30.24941477,13.53701126,,,
2/21/2019,1059.9198,305.11,3.97,29.07746545,13.54801233,,,
2/22/2019,1065.5814,304.16,3.24,29.50750635,13.54629249,,,
2/23/2019,1031.9055,305.07,2.9,28.83083251,13.54802327,,,
2/24/2019,1032.2405,305.25,4.48,28.19813316,13.54222541,,,
