Inputs,,,,Outputs,,,,
Date,G,T_a_rad,v,P_PV_TE,N_PV_TE,,,
dd/mm/yy,W/m2,K,m/s,W,%,,,
1/1/2019,296.8309,265.84,3.69,7.027326989,12.14739791,,,
1/2/2019,277.2014,267.79,0.82,6.98883421,12.20258988,,,
1/3/2019,159.5892,268.64,1.57,3.38358537,11.40986656,,,
1/4/2019,325.2408,266.95,4.13,7.791143062,12.2623372,,,
1/5/2019,334.7802,268.65,0.54,8.904182852,12.49634347,,,
1/6/2019,224.1638,268.08,0.64,5.376982311,11.91002264,,,
1/7/2019,282.4435,268.01,3.78,6.598299378,12.07251893,,,
1/8/2019,377.3279,267.64,2.79,9.674280171,12.55282099,,,
1/9/2019,268.7689,268.2,1.58,6.57795721,12.11614405,,,
1/10/2019,295.6087,272.15,2.48,7.241323566,12.21091638,,,
1/11/2019,254.1677,272.26,0.53,6.332094189,12.09627072,,,
1/12/2019,245.865,272.07,2.6,5.731089766,11.93887032,,,
1/13/2019,356.9348,272.13,0.85,9.544370296,12.57328418,,,
1/14/2019,256.9757,270.6,5.98,5.572237169,11.83187867,,,
1/15/2019,412.4786,265.05,4.31,10.35408622,12.60661862,,,
1/16/2019,378.8843,268.28,4.04,9.426689346,12.49854887,,,
1/17/2019,381,271.68,1.69,10.08604257,12.62362439,,,
1/18/2019,313.2812,272.47,3.08,7.662309976,12.26597744,,,
1/19/2019,350.6321,271.75,3.19,8.780521756,12.43002051,,,
1/20/2019,401.7877,271.02,5.31,9.833374292,12.52795539,,,
1/21/2019,410.6137,272.51,5.16,10.13507724,12.56829701,,,
1/22/2019,398.0952,273.92,4.9,9.832144959,12.53642891,,,
1/23/2019,393.2252,273.47,1.1,10.6424438,12.6979192,,,
1/24/2019,309.5001,272.44,2.62,7.63881658,12.27152041,,,
1/25/2019,441.3362,270.37,4.2,11.27626,12.71395948,,,
1/26/2019,366.9031,271.13,1.74,9.626848923,12.56708171,,,
1/27/2019,332.5711,271.9,4.29,7.999921171,12.29333654,,,
1/28/2019,440.7088,272.54,1.54,12.04005484,12.83820146,,,
1/29/2019,328.2247,274.48,0.63,8.685171941,12.46633069,,,
1/30/2019,391.9929,270.06,4.95,9.620191473,12.50724507,,,
1/31/2019,439.4384,267.54,3.86,11.29589721,12.72094421,,,
2/1/2019,446.0063,271.31,2.22,11.99364791,12.82227707,,,
2/2/2019,297.086,272.57,1.81,7.421336107,12.25376905,,,
2/3/2019,366.7369,272.04,3.4,9.223605915,12.48546654,,,
2/4/2019,318.6024,271.28,1.16,8.244509496,12.39400287,,,
2/5/2019,296.0618,269.68,2.83,7.178855065,12.1924455,,,
2/6/2019,287.4447,267.3,2.32,7.006144997,12.17348538,,,
2/7/2019,514.9401,265.81,1.95,14.23297196,13.02401129,,,
2/8/2019,384.3312,265.67,0.88,10.39815206,12.67294993,,,
2/9/2019,496.3294,266.65,1.28,13.88271787,13.00562504,,,
2/10/2019,393.0082,266.09,1.7,10.44395138,12.66373781,,,
2/11/2019,393.0112,268.94,2.99,10.11195204,12.60285446,,,
2/12/2019,307.0228,265.91,1.98,7.671749327,12.28729471,,,
2/13/2019,360.3966,267.77,1.2,9.550657236,12.56679766,,,
2/14/2019,388.7013,265.96,0.85,10.54817185,12.69046189,,,
2/15/2019,521.4847,267.46,6.15,13.1255059,12.86836981,,,
2/16/2019,567.5471,268.61,5.11,14.7980058,13.02526806,,,
2/17/2019,536.5131,271.95,1.85,14.96888062,13.08241106,,,
2/18/2019,420.2016,272.12,1.02,11.53636133,12.79541885,,,
2/19/2019,360.1028,271.66,3.32,9.038735898,12.46241063,,,
2/20/2019,503.3498,273.55,1.44,14.07122801,13.01932096,,,
2/21/2019,462.6125,275.68,0.54,13.08369324,12.95073436,,,
2/22/2019,427.3015,277.45,1.32,11.69080921,12.80731481,,,
2/23/2019,437.2788,276.83,0.66,12.22374182,12.87080131,,,
2/24/2019,463.4314,278.22,2.34,12.53740476,12.87494235,,,
2/25/2019,370.6996,276.37,1.12,9.92520581,12.61557296,,,
2/26/2019,307.0702,275.9,1.48,7.821228704,12.32608971,,,
2/27/2019,434.5624,277.56,1.59,11.8431209,12.81849956,,,
2/28/2019,398.7405,278.54,0.8,10.92142215,12.73451395,,,
3/1/2019,382.1625,279.07,1.16,10.28841286,12.65790493,,,
3/2/2019,422.7286,280.12,2.42,11.23046229,12.74134512,,,
3/3/2019,382.1935,279.34,0.93,10.35292792,12.66925055,,,
3/4/2019,493.489,281.8,0.14,14.23655547,13.05056708,,,
3/5/2019,620.3123,281.21,6.32,16.04163654,13.10486906,,,
3/6/2019,674.9097,276.34,4.61,18.19463346,13.25793842,,,
3/7/2019,676.154,277.72,2.06,19.22145509,13.33383502,,,
3/8/2019,550.5998,279.88,2.97,15.0471137,13.0747916,,,
3/9/2019,402.8732,277.7,1.59,10.82544549,12.71065281,,,
3/10/2019,408.9904,277.84,0.43,11.36810794,12.78844593,,,
3/11/2019,696.1968,279.63,6.09,18.30207919,13.24930359,,,
3/12/2019,717.6846,276.61,5.04,19.27843211,13.30974068,,,
3/13/2019,712.5425,280.1,3.87,19.59149307,13.33531167,,,
3/14/2019,729.898,280.03,4.48,19.8593757,13.34218767,,,
3/15/2019,707.8766,279.53,0.96,20.65822111,13.40395308,,,
3/16/2019,707.3409,282.63,3.5,19.59526757,13.3389344,,,
3/17/2019,664.8088,285.12,3.46,18.36766632,13.27981613,,,
3/18/2019,552.8795,285.7,1.16,15.7881134,13.15070185,,,
3/19/2019,609.249,289.29,3.59,16.67340077,13.18110587,,,
3/20/2019,513.9643,284.3,4.42,13.49993392,12.93293401,,,
3/21/2019,797.7919,277.57,4.63,21.73369318,13.41712695,,,
3/22/2019,794.7111,279.32,5.71,21.22491629,13.38968805,,,
3/23/2019,800.8422,277.81,2.41,22.76949712,13.46558286,,,
3/24/2019,751.2747,283.42,3.68,20.81022297,13.3892937,,,
3/25/2019,790.9457,284.86,3.02,22.2465938,13.44628231,,,
3/26/2019,659.1979,282.92,1.01,19.15600263,13.34028645,,,
