Inputs,,,,Outputs,,,,
Date,G,v,Ta,P_PV_TE,N_PV_TE,,,
dd/mm/yy,W/m2,m/s,K,W,%,,,
1/1/2019,124.079,10.36,278.65,2.138188432,10.86043662,,,
1/2/2019,142.2954,8,273.73,2.579405812,11.03562196,,,
1/3/2019,140.9799,4.69,271.35,2.695928189,11.13756109,,,
1/4/2019,134.8476,5.22,273.83,2.533189923,11.07807256,,,
1/5/2019,140.0822,4.53,277.2,2.700415501,11.14925447,,,
1/6/2019,146.5467,2.44,273.15,2.978804146,11.27568478,,,
1/7/2019,140.602,3.54,275.1,2.762729735,11.18741868,,,
1/8/2019,119.7993,8.25,276.96,2.101274731,10.88185856,,,
1/9/2019,145.9198,8.06,274.52,2.659481422,11.06060933,,,
1/10/2019,155.5824,4.14,272.67,3.087513232,11.26901508,,,
1/11/2019,141.8058,4.97,274.25,2.709165398,11.13913024,,,
1/12/2019,147.2389,6.72,276.51,2.755518457,11.12009319,,,
1/13/2019,150.1979,8.98,278.71,2.732079255,11.07242302,,,
1/14/2019,157.4497,10.03,274.08,2.829455128,11.07237113,,,
1/15/2019,159.1762,9.29,275.68,2.904438345,11.1120031,,,
1/16/2019,161.199,6.74,277.71,3.08288282,11.21829087,,,
1/17/2019,168.6779,6.58,276.04,3.263251449,11.27059545,,,
1/18/2019,181.4274,4.7,272.08,3.698023432,11.42557328,,,
1/19/2019,181.5718,1.17,271.64,4.046356397,11.59691059,,,
1/20/2019,186.9911,1.1,270.2,4.208168222,11.63825666,,,
1/21/2019,184.3897,3.38,269.64,3.885236847,11.50263867,,,
1/22/2019,189.4611,3.23,268.23,4.032829777,11.54285795,,,
1/23/2019,193.4123,4.82,266.31,3.97683393,11.48979559,,,
1/24/2019,203.8159,3.38,267.81,4.409983329,11.63213981,,,
1/25/2019,201.1684,1.44,268.68,4.573158133,11.71630189,,,
1/26/2019,198.7306,3.77,273.06,4.246212471,11.58727865,,,
1/27/2019,204.6772,5.24,274.78,4.26712247,11.56101677,,,
1/28/2019,212.0268,3.38,273.99,4.659934086,11.69497593,,,
1/29/2019,222.3926,4.03,272.46,4.86622539,11.72587035,,,
1/30/2019,226.999,5.47,271.91,4.82702197,11.68489853,,,
1/31/2019,233.403,3.17,271.79,5.283838725,11.83484129,,,
2/1/2019,226.4698,4.74,271.82,4.893335022,11.71567418,,,
2/2/2019,227.5097,1.37,272.88,5.374771359,11.8946505,,,
2/3/2019,236.0603,4.15,272.64,5.233284861,11.80299098,,,
2/4/2019,256.2215,3.7,272.32,5.869148662,11.9420617,,,
2/5/2019,257.8609,4.67,273.36,5.782162253,11.90473541,,,
2/6/2019,261.5725,4.71,273.69,5.883134614,11.92395294,,,
2/7/2019,263.0297,5.86,272.92,5.765288093,11.87543188,,,
2/8/2019,266.9193,6.45,275.4,5.809623951,11.87384203,,,
2/9/2019,266.99,8.15,277.34,5.622960779,11.80289164,,,
2/10/2019,262.8673,7.64,277.78,5.573210245,11.80375936,,,
2/11/2019,292.8528,8.32,276.03,6.279525225,11.92639978,,,
2/12/2019,304.0678,5.42,274.45,6.984395399,12.10922418,,,
2/13/2019,293.9866,6.48,277.41,6.559423577,12.01591348,,,
2/14/2019,302.1605,3.76,277.5,7.222709948,12.1842469,,,
2/15/2019,315.582,2.44,276.05,7.873610069,12.31202657,,,
2/16/2019,334.79,4.18,277.13,8.110961804,12.31437332,,,
2/17/2019,316.8028,2.61,277.88,7.883268624,12.3108535,,,
2/18/2019,348.7535,3.4,277.83,8.704017042,12.41781473,,,
2/19/2019,324.8472,6.1,278.17,7.485389458,12.18107891,,,
2/20/2019,338.27,5.12,278.69,8.044884917,12.28756073,,,
2/21/2019,331.4542,5.28,279.98,7.824900558,12.25174745,,,
2/22/2019,382.6858,4.36,274.23,9.4970078,12.50404764,,,
2/23/2019,378.9943,3.18,271.86,9.647704476,12.54368091,,,
2/24/2019,362.4861,2.29,275.07,9.365782935,12.52522548,,,
2/25/2019,389.0413,3.61,277.36,9.875598517,12.56599285,,,
2/26/2019,369.321,3.11,278.21,9.395509598,12.51512704,,,
2/27/2019,409.2359,3.26,279.38,10.58609945,12.65632936,,,
2/28/2019,394.9518,5.02,278.27,9.735969558,12.52417145,,,
3/1/2019,380.3869,1.93,276.52,10.02028177,12.61271347,,,
3/2/2019,423.4989,2.74,276.03,11.14919921,12.72631885,,,
3/3/2019,404.8246,7.51,280.65,9.506465154,12.44746402,,,
3/4/2019,420.6722,9.37,281.58,9.609717713,12.42928801,,,
3/5/2019,442.9999,8.64,278.52,10.35539563,12.53746152,,,
3/6/2019,453.0777,5.52,279.05,11.33735086,12.701743,,,
3/7/2019,448.8717,6.99,281.99,10.89132687,12.62976384,,,
3/8/2019,469.2306,7.65,278.93,11.30306663,12.66320084,,,
3/9/2019,471.3438,8.27,279.55,11.23015783,12.64537337,,,
3/10/2019,480.559,4.62,277.03,12.3894638,12.82469392,,,
3/11/2019,481.2907,6.06,275.74,12.01302722,12.76294301,,,
3/12/2019,508.3669,5.06,277.14,13.10580871,12.88641042,,,
3/13/2019,493.8282,9.1,279.25,11.6732107,12.67993747,,,
3/14/2019,510.7967,7.3,278.44,12.57535451,12.80141008,,,
3/15/2019,521.3404,9.51,280.08,12.35052078,12.7446466,,,
3/16/2019,522.8041,6.96,279.47,13.02123325,12.8505245,,,
3/17/2019,529.1157,6.91,280.33,13.22465152,12.87073279,,,
3/18/2019,541.1843,8.48,277.51,13.13956363,12.83772983,,,
3/19/2019,577.2546,4.34,276.64,15.38243997,13.08128734,,,
3/20/2019,563.917,3.71,278.99,15.20099102,13.07649819,,,
3/21/2019,541.6266,3.37,281.43,14.64508228,13.0394828,,,
