Inputs,,,,Outputs,,,,
Date,G,v,T_a,P_PV_TE,N_PV_TE,,,
dd/mm/yy,W/m2,m/s,K,W,%,,,
1/1/2019,950.9763,0.65,297.13,27.72444471,13.54785993,,,
1/2/2019,984.5371,0.76,298.15,28.53801652,13.54768106,,,
1/3/2019,987.7206,0.69,299.09,28.6513044,13.54736234,,,
1/4/2019,984.5824,0.5,299.07,28.65522662,13.54722633,,,
1/5/2019,964.7288,0.19,298.61,28.28569135,13.54788793,,,
1/6/2019,975.3074,0.55,298.1,28.39578881,13.54785554,,,
1/7/2019,975.1705,0.69,297.73,28.32989786,13.54800018,,,
1/8/2019,994.1455,0.07,298.4,29.08385753,13.54500972,,,
1/9/2019,1011.0746,0.66,298.66,29.24786269,13.54482747,,,
1/10/2019,1000.3954,0.32,298.74,29.13084435,13.54505695,,,
1/11/2019,976.8801,0.34,296.61,28.52527036,13.54748597,,,
1/12/2019,985.6082,0.28,296.29,28.77224985,13.5466741,,,
1/13/2019,988.2705,0.55,297.44,28.72281972,13.54705765,,,
1/14/2019,970.9972,0.69,297.2,28.22218782,13.54810206,,,
1/15/2019,988.068,0.89,297.5,28.56887165,13.54768195,,,
1/16/2019,962.491,0.57,298.18,28.0593321,13.54814388,,,
1/17/2019,1002.4934,0.67,298.25,29.02899936,13.54596301,,,
1/18/2019,995.7997,0.78,298,28.81280605,13.54693027,,,
1/19/2019,969.3148,0.78,298.4,28.14247416,13.54815045,,,
1/20/2019,966.9886,0.14,298.5,28.36550115,13.54772992,,,
1/21/2019,967.1926,0.54,298.11,28.19301091,13.54809155,,,
1/22/2019,987.4797,0.37,299.18,28.78571459,13.54669003,,,
1/23/2019,994.9399,0.12,299.66,29.08410421,13.54506345,,,
1/24/2019,985.4428,0.58,298.42,28.64042904,13.54732413,,,
1/25/2019,973.9693,0.44,298.52,28.41108106,13.54778113,,,
1/26/2019,972.6204,0.52,298.09,28.34050293,13.54792944,,,
1/27/2019,987.3592,0.69,297.2,28.63781788,13.54740447,,,
1/28/2019,989.6054,0.49,296.78,28.78141573,13.54681402,,,
1/29/2019,1004.2511,0.44,296.96,29.17068878,13.54499486,,,
1/30/2019,995.3406,0.79,298.12,28.79719555,13.5469904,,,
1/31/2019,1013.5818,0.48,298.97,29.38908899,13.54372131,,,
2/1/2019,1003.904,0.22,299.38,29.26345729,13.54415155,,,
2/2/2019,985.9626,0.31,298.49,28.77241606,13.54669126,,,
2/3/2019,996.0253,0.64,298.42,28.88061335,13.54656386,,,
2/4/2019,990.985,0.33,298.78,28.89073399,13.54623512,,,
2/5/2019,992.3397,0.57,298.5,28.81886568,13.54673773,,,
2/6/2019,986.3482,0.59,298.41,28.65889652,13.54727814,,,
2/7/2019,997.1859,0.81,298.78,28.83634724,13.54686903,,,
2/8/2019,962.9678,0.27,298.34,28.20452517,13.54801686,,,
2/9/2019,979.5786,0.14,299.16,28.68731846,13.54685587,,,
2/10/2019,976.9604,0.47,298.28,28.47346094,13.54767222,,,
2/11/2019,963.1966,0.84,299.12,27.9610326,13.54810595,,,
2/12/2019,982.3506,0.53,298.95,28.58531858,13.54744027,,,
2/13/2019,978.532,0.38,299.03,28.55463067,13.5474291,,,
2/14/2019,986.2778,0.68,297.62,28.61585229,13.54745495,,,
2/15/2019,975.7458,0.13,297.54,28.591342,13.54716591,,,
2/16/2019,979.7836,0.85,298.1,28.37798406,13.54799024,,,
2/17/2019,976.7094,0.91,298.08,28.2735057,13.54810934,,,
2/18/2019,982.2245,0.74,297.7,28.48714166,13.54777513,,,
2/19/2019,981.2926,0.74,298.12,28.46449863,13.54781619,,,
2/20/2019,961.2842,0.3,298.91,28.14918457,13.54807243,,,
2/21/2019,955.2525,0.61,298.85,27.85674181,13.54804595,,,
2/22/2019,957.7128,0.3,298.28,28.05597167,13.54812012,,,
2/23/2019,974.7506,0.4,297.88,28.44724893,13.54769295,,,
2/24/2019,976.9788,0.77,298.51,28.34268299,13.54800822,,,
2/25/2019,964.6374,0.65,298.02,28.07883959,13.54814819,,,
2/26/2019,973.6914,0.59,297.21,28.3350065,13.54796242,,,
2/27/2019,973.7435,0.35,296.42,28.44063963,13.5476848,,,
2/28/2019,972.1976,0.56,297.25,28.31021587,13.54798433,,,
3/1/2019,972.4293,0.26,296.96,28.44813956,13.54762167,,,
3/2/2019,949.0175,0.71,297.24,27.64740866,13.54769537,,,
3/3/2019,963.5294,0.46,297.41,28.13286093,13.54811311,,,
3/4/2019,959.8552,0.67,296.91,27.94449073,13.548108,,,
3/5/2019,962.3591,0.51,296.94,28.07965466,13.54813727,,,
3/6/2019,957.7587,0.6,297.36,27.92240071,13.54809971,,,
3/7/2019,954.6371,0.45,296.96,27.90729633,13.54810127,,,
3/8/2019,935.6812,0.47,297.79,27.40721149,13.54720023,,,
3/9/2019,953.0725,0.57,297.44,27.81479524,13.54800642,,,
3/10/2019,941.3106,0.56,297.06,27.51277916,13.54744534,,,
3/11/2019,939.6769,0.28,297.12,27.59470225,13.54774542,,,
3/12/2019,915.9503,0.22,297.71,26.99823686,13.54581084,,,
3/13/2019,910.4775,0.29,297.05,26.8200286,13.54481539,,,
3/14/2019,938.524,0.48,297.77,27.47709643,13.54739293,,,
3/15/2019,938.1084,0.7,298.23,27.36997947,13.5469421,,,
3/16/2019,943.0674,0.46,298.17,27.60539788,13.54770472,,,
3/17/2019,905.5109,0.33,298.35,26.67245369,13.54389003,,,
3/18/2019,941.1586,0.55,299,27.51769763,13.54746803,,,
3/19/2019,939.6857,0.3,299.11,27.59023676,13.54773366,,,
3/20/2019,910.8137,0.22,299.12,26.86465421,13.54514673,,,
3/21/2019,899.3145,0.5,298.47,26.43106535,13.54195589,,,
3/22/2019,891.1018,0.17,297.75,26.3555724,13.54187408,,,
3/23/2019,903.4385,0.55,297.81,26.5178892,13.54252813,,,
3/24/2019,896.7736,0.6,297.82,26.31684031,13.54087435,,,
3/25/2019,897.1309,0.36,297.74,26.43304483,13.54217748,,,
3/26/2019,881.0924,0.84,297.72,25.79632568,13.53042597,,,
