Inputs,,,,Outputs,,,,
Date,G,v,T_a,P_PV_TE,N_PV_TE,,,
dd/mm/yy,W/m2,m/s,K,W,%,,,
1/1/2019,1109.2054,1.65,291.14,31.16015658,13.52843716,,,
1/2/2019,1118.7528,1.54,293.87,31.43523196,13.52409979,,,
1/3/2019,1132.1017,3.23,293.52,31.03870385,13.53424344,,,
1/4/2019,1140.2538,1.81,294.15,31.81615696,13.51901957,,,
1/5/2019,1123.4814,2.51,296.1,31.14523588,13.53100037,,,
1/6/2019,1132.3544,1.23,295.84,31.88410487,13.51572262,,,
1/7/2019,1105.2834,1.72,293.71,31.04607032,13.5301204,,,
1/8/2019,1136.8472,1.8,295.49,31.74614474,13.52009554,,,
1/9/2019,1139.7024,0.92,296.97,32.18610136,13.50903296,,,
1/10/2019,1109.8304,2.22,296.96,30.95173058,13.53262075,,,
1/11/2019,1143.1587,2.75,298.45,31.50593656,13.52677662,,,
1/12/2019,1131.9078,0.54,299.52,32.17527176,13.50763884,,,
1/13/2019,1118.1851,2.13,298.81,31.18869371,13.52930976,,,
1/14/2019,1054.2678,1.64,298.5,29.88315018,13.5420153,,,
1/15/2019,1107.1694,1.23,296.82,31.3052501,13.52498055,,,
1/16/2019,1120.2614,2.57,297.21,31.04953085,13.53234072,,,
1/17/2019,1087.7229,0.76,296.98,31.05110024,13.5271698,,,
1/18/2019,1128.5622,1.36,298.43,31.74860244,13.51844089,,,
1/19/2019,1144.6969,3.21,297.74,31.35085209,13.53024862,,,
1/20/2019,1139.5991,4.19,293.64,30.82128337,13.5387296,,,
1/21/2019,1169.2808,2.04,294.51,32.37818052,13.51000463,,,
1/22/2019,1154.7007,0.84,297.57,32.5622562,13.50129307,,,
1/23/2019,1111.3021,0.62,298.7,31.66486818,13.5171656,,,
1/24/2019,1101.3992,3.37,298.85,30.28656408,13.54177241,,,
1/25/2019,1118.085,2.62,298.32,30.98210114,13.53326678,,,
1/26/2019,1072.9338,2.57,296.86,29.93490627,13.54313595,,,
1/27/2019,1102.42,3.39,293.61,30.28247546,13.54191699,,,
1/28/2019,1108.282,2.74,293.13,30.68716576,13.53695865,,,
1/29/2019,1108.2817,2.62,294.05,30.74007328,13.53610509,,,
