Inputs,,,,Outputs,,,,
Date,G,T_a_rad,v,P_PV_TE,N_PV_TE,,,
dd/mm/yy,W/m2,K,m/s,W,%,,,
1/1/2019,357.4187,284.26,3.91,8.813898488,12.41965437,,,
1/2/2019,347.6869,277.6,0.68,9.288453836,12.54400696,,,
1/3/2019,358.8463,278.02,1.54,9.422926036,12.54517023,,,
1/4/2019,329.2253,276.26,1.4,8.51775209,12.4273932,,,
1/5/2019,340.6702,279.39,2.46,8.634737087,12.4235562,,,
1/6/2019,371.6645,278.77,4.17,9.187546287,12.46543226,,,
1/7/2019,364.5473,273.8,1.72,9.551756843,12.55767471,,,
1/8/2019,359.9841,277.6,3.29,9.03162803,12.46117074,,,
1/9/2019,366.6881,278.49,6.18,8.612714192,12.34453484,,,
1/10/2019,391.2021,271.77,8.42,8.906744091,12.34560958,,,
1/11/2019,388.5659,271.19,5.62,9.386197196,12.46576882,,,
1/12/2019,368.5677,272.08,1.05,9.863459091,12.60860444,,,
1/13/2019,372.5244,271.28,3.59,9.355343807,12.49906638,,,
1/14/2019,389.8299,270.6,3.17,9.976206429,12.58384425,,,
1/15/2019,397.6818,269.4,3.19,10.19073398,12.60766971,,,
1/16/2019,386.2757,270.82,3.1,9.876623011,12.57241846,,,
1/17/2019,386.5882,272.23,1.08,10.43071952,12.67419215,,,
1/18/2019,395.9683,273.64,0.57,10.88421348,12.73348011,,,
1/19/2019,377.8072,273.63,2.07,9.887878124,12.59330145,,,
1/20/2019,405.7584,275.27,4.09,10.23852483,12.59922485,,,
1/21/2019,460.8268,263.66,9.97,10.51203206,12.52393663,,,
1/22/2019,433.1123,265.09,1.89,11.68541843,12.79641342,,,
1/23/2019,405.1366,273.21,4.87,10.04485374,12.56288831,,,
1/24/2019,406.4102,281.19,4.01,10.28790654,12.60720597,,,
1/25/2019,450.5908,272.52,4.44,11.49349214,12.73327951,,,
1/26/2019,442.0135,272.07,0.05,12.56973991,12.91206861,,,
1/27/2019,444.8509,273.76,3.06,11.70970844,12.77954141,,,
1/28/2019,458.6827,272.66,2.44,12.33344546,12.85263688,,,
1/29/2019,431.9533,272.51,2.16,11.57441077,12.78078331,,,
1/30/2019,479.8956,268.19,4.76,12.28972403,12.81024376,,,
1/31/2019,493.1378,261.82,3.74,12.98088288,12.89222052,,,
2/1/2019,456.7215,265.52,1.61,12.52445249,12.88356497,,,
2/2/2019,459.3026,268.01,0.86,12.85818698,12.92580715,,,
2/3/2019,467.8361,274.29,0.92,13.11579398,12.94764435,,,
2/4/2019,475.2373,277.31,1.17,13.26907095,12.957197,,,
2/5/2019,466.4239,280.84,1.65,12.82913224,12.91146596,,,
2/6/2019,451.0464,280.81,2.34,12.11183451,12.83188406,,,
2/7/2019,456.2136,280.37,1.22,12.63416773,12.89979633,,,
2/8/2019,513.8765,281.24,3.54,13.68304445,12.95725452,,,
2/9/2019,550.1461,271.4,6.19,13.95198969,12.94138571,,,
2/10/2019,528.0553,271.52,0.45,15.21125929,13.11788287,,,
2/11/2019,491.0888,273.22,1.8,13.5504204,12.97146524,,,
2/12/2019,490.5494,273.77,3.51,12.97391629,12.89522167,,,
2/13/2019,550.5651,274.69,4.19,14.5869467,13.02142783,,,
2/14/2019,541.8735,274.14,2.32,14.95142813,13.07424797,,,
2/15/2019,529.4491,280.75,4.73,13.78915328,12.94929621,,,
2/16/2019,558.1741,276.46,4.1,14.85031498,13.0431612,,,
2/17/2019,535.959,272.62,1.53,15.06877264,13.09401022,,,
2/18/2019,582.2202,276.33,3.43,15.82716454,13.12400799,,,
2/19/2019,593.6064,272.89,3.93,15.99245765,13.1290547,,,
2/20/2019,545.2275,272.67,3.19,14.77776093,13.05050834,,,
2/21/2019,587.2004,275.19,1.31,16.78234888,13.21159742,,,
2/22/2019,573.2256,276.91,2.5,15.90406391,13.14147148,,,
2/23/2019,557.8221,274.82,2.84,15.30092048,13.09461943,,,
2/24/2019,587.2982,278.02,2.45,16.36174793,13.17254781,,,
2/25/2019,666.2104,276.13,9.36,16.37878126,13.08936263,,,
2/26/2019,621.7014,275.16,3.04,17.18618349,13.21680576,,,
2/27/2019,612.1922,273.86,2.62,17.05870403,13.21392723,,,
2/28/2019,643.27,276.45,2.03,18.24036881,13.28622544,,,
3/1/2019,583.2803,274,3.59,15.82980403,13.12314298,,,
3/2/2019,634.5054,274.95,2.6,17.75597018,13.25467943,,,
3/3/2019,602.1605,274.56,1.62,17.1372579,13.22960281,,,
3/4/2019,678.4174,273.33,4.97,18.19125054,13.2547876,,,
3/5/2019,695.7916,269.98,2.7,19.5553451,13.34362085,,,
3/6/2019,713.6708,268.82,6.33,18.68987581,13.26720601,,,
3/7/2019,688.5552,270.23,3,19.20973579,13.3248872,,,
3/8/2019,659.8888,273.05,1.8,18.83817451,13.31819211,,,
3/9/2019,682.9534,275.1,1.42,19.69022643,13.36020699,,,
3/10/2019,672.8296,279.19,3.07,18.7225705,13.30084303,,,
3/11/2019,707.9577,281.9,4.34,19.27826105,13.31654444,,,
3/12/2019,738.094,277.55,4.52,20.06206337,13.35043893,,,
3/13/2019,719.8406,277.96,2.05,20.54411166,13.39099674,,,
3/14/2019,672.9745,283.57,4.26,18.2891104,13.26721379,,,
3/15/2019,678.5897,289.56,5.53,17.99828815,13.23826408,,,
3/16/2019,761.5814,281.01,6.39,20.06316846,13.33542499,,,
3/17/2019,773.5969,276.65,3.1,21.70356266,13.42736536,,,
3/18/2019,763.5118,277.11,2.32,21.74346309,13.43407676,,,
3/19/2019,780.8411,276.85,1.08,22.81175673,13.47456804,,,
3/20/2019,770.6378,276.98,2.32,21.94848376,13.4409136,,,
3/21/2019,720.5934,279.61,2.54,20.35255577,13.37916114,,,
3/22/2019,789.3799,279.47,8.33,20.12448674,13.32083927,,,
3/23/2019,828.3396,276.86,7.79,21.36078002,13.37868506,,,
3/24/2019,804.7605,278.98,2.64,22.80000865,13.4653878,,,
3/25/2019,740.9022,282.99,1.77,21.31404494,13.42281375,,,
3/26/2019,854.4466,277.82,5.32,23.06925097,13.45757488,,,
3/27/2019,841.871,276.45,2.42,23.95711989,13.49628018,,,
